customer_id,customer_code,first_name,last_name,gender,email,phone,city,state,country,postal_code,birth_date,signup_at,segment,is_active,opted_in_marketing
1,CUST-00001,Sai,Sharma,Male,sai.sharma.cust-00001@example.com,+91-8321819600,Noida,UP,India,963794,1979-08-13,2023-06-22 22:43:23,Standard,False,False
2,CUST-00002,Aarav,Khan,Female,aarav.khan.cust-00002@example.com,+91-7423511615,Coimbatore,TN,India,718495,1983-09-24,2023-02-08 20:28:06,Standard,True,False
3,CUST-00003,Riya,Reddy,Male,riya.reddy.cust-00003@example.com,+91-9341316475,Nagpur,MH,India,292832,1993-03-18,2024-03-03 05:50:10,Standard,True,True
4,CUST-00004,Dev,Das,Other,dev.das.cust-00004@example.com,+91-8503056413,Noida,UP,India,824238,1988-03-25,2024-01-16 10:13:48,Gold,True,True
5,CUST-00005,Anvi,Iyer,Male,anvi.iyer.cust-00005@example.com,+91-6965328710,Kanpur,UP,India,769784,1973-09-17,2023-12-13 17:53:58,Standard,True,True
6,CUST-00006,Prisha,Sharma,Male,prisha.sharma.cust-00006@example.com,+91-7514627048,Bengaluru,KA,India,993252,2005-07-18,2023-08-05 18:21:03,Standard,True,True
7,CUST-00007,Anvi,Malhotra,Male,anvi.malhotra.cust-00007@example.com,+91-7701543039,Mumbai,MH,India,327824,1967-09-07,2023-06-09 05:17:49,Standard,False,True
8,CUST-00008,Navya,Roy,Male,navya.roy.cust-00008@example.com,+91-8834657871,Coimbatore,TN,India,401031,1980-02-27,2025-04-27 04:44:17,Standard,True,False
9,CUST-00009,Aditya,Agarwal,Female,aditya.agarwal.cust-00009@example.com,+91-8473829973,Nagpur,MH,India,770106,1996-07-08,2023-05-16 01:18:52,Standard,True,True
10,CUST-00010,Rohan,Gupta,Male,rohan.gupta.cust-00010@example.com,+91-8387262473,Delhi,DL,India,901326,1999-10-03,2025-07-06 07:09:23,Platinum,True,False
11,CUST-00011,Kiara,Kapoor,Other,kiara.kapoor.cust-00011@example.com,+91-6026064746,Secunderabad,TS,India,905009,2003-08-30,2024-10-17 10:23:08,Standard,True,False
12,CUST-00012,Saanvi,Malhotra,Male,saanvi.malhotra.cust-00012@example.com,+91-8081219136,Surat,GJ,India,954353,1982-02-01,2023-02-19 08:56:39,Standard,True,True
13,CUST-00013,Aaradhya,Das,Other,aaradhya.das.cust-00013@example.com,+91-7751079911,Mysuru,KA,India,454278,1979-02-14,2023-02-16 06:55:15,Standard,True,True
14,CUST-00014,Ira,Roy,Female,ira.roy.cust-00014@example.com,+91-9841241182,Indore,MP,India,587401,1985-04-11,2023-05-26 13:12:42,Standard,True,True
15,CUST-00015,Manan,Iyer,Male,manan.iyer.cust-00015@example.com,+91-9524278680,Pune,MH,India,698262,1966-10-01,2023-12-06 15:24:52,Platinum,True,True
16,CUST-00016,Aditya,Mishra,Male,aditya.mishra.cust-00016@example.com,+91-9533158692,Howrah,WB,India,663421,1974-07-30,2023-12-28 10:13:36,Platinum,True,False
17,CUST-00017,Ayaan,Verma,Female,ayaan.verma.cust-00017@example.com,+91-8375433036,Ahmedabad,GJ,India,968501,1984-12-29,2025-02-24 01:00:38,Standard,True,True
18,CUST-00018,Aaradhya,Khan,Male,aaradhya.khan.cust-00018@example.com,+91-7019655698,Kanpur,UP,India,188356,1994-07-23,2025-07-24 04:53:06,Standard,True,True
19,CUST-00019,Arjun,Agarwal,Male,arjun.agarwal.cust-00019@example.com,+91-7148465648,Bhopal,MP,India,399468,1977-03-18,2023-02-11 05:19:57,Gold,True,True
20,CUST-00020,Aarav,Mishra,Female,aarav.mishra.cust-00020@example.com,+91-8699577738,Gurugram,HR,India,613433,1975-03-23,2025-05-21 20:43:57,Standard,True,True
21,CUST-00021,Krishna,Sharma,Female,krishna.sharma.cust-00021@example.com,+91-8791769367,Pune,MH,India,263287,1981-11-20,2023-11-05 21:12:17,Gold,False,True
22,CUST-00022,Vihaan,Mehta,Other,vihaan.mehta.cust-00022@example.com,+91-9727889579,Delhi,DL,India,874348,2005-04-14,2025-04-26 12:53:27,Platinum,True,True
23,CUST-00023,Kiara,Nair,Male,kiara.nair.cust-00023@example.com,+91-6143455812,Noida,UP,India,758760,1980-09-29,2024-10-13 16:49:57,Gold,True,False
24,CUST-00024,Diya,Ghosh,Other,diya.ghosh.cust-00024@example.com,+91-9967054668,Chennai,TN,India,662729,1979-10-14,2023-12-09 10:37:19,Standard,True,False
25,CUST-00025,Anvi,Sharma,Male,anvi.sharma.cust-00025@example.com,+91-9162720465,Chennai,TN,India,741708,2000-10-16,2024-11-28 19:43:37,Standard,True,False
26,CUST-00026,Vihaan,Chopra,Female,vihaan.chopra.cust-00026@example.com,+91-9003309232,Delhi,DL,India,629912,1970-04-06,2025-07-04 09:25:01,Platinum,True,False
27,CUST-00027,Ira,Gupta,Other,ira.gupta.cust-00027@example.com,+91-9496631931,Kanpur,UP,India,158651,1987-01-21,2024-03-08 03:42:04,Gold,True,True
28,CUST-00028,Aanya,Agarwal,Other,aanya.agarwal.cust-00028@example.com,+91-6716572628,Mumbai,MH,India,794531,1984-03-25,2023-01-11 02:17:28,Platinum,True,True
29,CUST-00029,Sara,Jain,Male,sara.jain.cust-00029@example.com,+91-6996507527,Delhi,DL,India,580831,1991-10-31,2023-09-06 00:31:50,Standard,True,True
30,CUST-00030,Myra,Ghosh,Female,myra.ghosh.cust-00030@example.com,+91-8777014363,Ahmedabad,GJ,India,955744,1993-02-08,2024-10-18 12:12:24,Standard,True,True
31,CUST-00031,Aaradhya,Nair,Other,aaradhya.nair.cust-00031@example.com,+91-8518233749,Bengaluru,KA,India,508240,1985-05-22,2024-06-12 13:27:31,Platinum,True,True
32,CUST-00032,Vihaan,Mehta,Male,vihaan.mehta.cust-00032@example.com,+91-8710947775,Gurugram,HR,India,771902,1964-08-10,2024-03-07 15:47:40,Platinum,True,True
33,CUST-00033,Krishna,Pillai,Female,krishna.pillai.cust-00033@example.com,+91-9318699938,Gurugram,HR,India,599091,2000-06-01,2023-08-30 12:41:45,Standard,True,True
34,CUST-00034,Diya,Reddy,Other,diya.reddy.cust-00034@example.com,+91-9232812067,Noida,UP,India,813493,2002-02-27,2023-12-01 11:28:43,Standard,True,False
35,CUST-00035,Manan,Gupta,Female,manan.gupta.cust-00035@example.com,+91-8242102499,Lucknow,UP,India,588771,1999-05-26,2024-06-06 21:09:15,Standard,True,True
36,CUST-00036,Nisha,Verma,Other,nisha.verma.cust-00036@example.com,+91-7940139904,Coimbatore,TN,India,529671,1963-08-11,2023-06-08 18:40:31,Gold,True,True
37,CUST-00037,Saanvi,Chopra,Male,saanvi.chopra.cust-00037@example.com,+91-7512567468,Coimbatore,TN,India,780876,2000-10-20,2023-05-25 01:48:56,Standard,True,True
38,CUST-00038,Vihaan,Reddy,Female,vihaan.reddy.cust-00038@example.com,+91-7977034824,Surat,GJ,India,348086,2003-06-27,2024-08-13 04:42:59,Standard,True,True
39,CUST-00039,Reyansh,Nair,Male,reyansh.nair.cust-00039@example.com,+91-6127484677,Bengaluru,KA,India,314658,2000-12-23,2023-05-31 05:50:52,Standard,True,True
40,CUST-00040,Sara,Sharma,Other,sara.sharma.cust-00040@example.com,+91-7997278755,Gurugram,HR,India,496360,1993-11-03,2024-07-11 15:43:16,Platinum,True,True
41,CUST-00041,Kabir,Kapoor,Male,kabir.kapoor.cust-00041@example.com,+91-6270289517,Chennai,TN,India,317459,2007-03-09,2024-06-18 07:35:55,Standard,True,True
42,CUST-00042,Om,Singh,Other,om.singh.cust-00042@example.com,+91-6578091343,Kolkata,WB,India,272400,1968-02-09,2025-07-26 20:32:16,Premium,True,True
43,CUST-00043,Kabir,Verma,Male,kabir.verma.cust-00043@example.com,+91-7562386922,Gurugram,HR,India,337474,1967-01-31,2024-02-15 22:03:09,Platinum,True,False
44,CUST-00044,Aarav,Jain,Male,aarav.jain.cust-00044@example.com,+91-8175946474,Gurugram,HR,India,540640,1994-07-06,2023-03-09 11:56:59,Standard,True,True
45,CUST-00045,Riya,Verma,Other,riya.verma.cust-00045@example.com,+91-6439533942,Bhopal,MP,India,195214,1968-09-18,2024-12-14 16:36:03,Gold,False,True
46,CUST-00046,Kabir,Ghosh,Female,kabir.ghosh.cust-00046@example.com,+91-8285884247,Hyderabad,TS,India,468516,1990-05-22,2025-04-13 00:01:56,Standard,True,False
47,CUST-00047,Aarav,Iyer,Male,aarav.iyer.cust-00047@example.com,+91-9754965137,Lucknow,UP,India,846120,1989-06-05,2023-07-13 21:51:23,Gold,True,True
48,CUST-00048,Aditya,Mishra,Other,aditya.mishra.cust-00048@example.com,+91-9138267586,Ahmedabad,GJ,India,740537,1973-11-11,2024-08-11 00:47:04,Standard,True,True
49,CUST-00049,Shivansh,Nair,Male,shivansh.nair.cust-00049@example.com,+91-9585064317,Howrah,WB,India,632931,1979-01-11,2023-05-03 09:53:03,Gold,True,False
50,CUST-00050,Prisha,Reddy,Female,prisha.reddy.cust-00050@example.com,+91-8352904228,Kanpur,UP,India,495024,1975-08-27,2025-05-07 13:33:59,Gold,False,False
51,CUST-00051,Vihaan,Patel,Male,vihaan.patel.cust-00051@example.com,+91-9177589178,Coimbatore,TN,India,800766,1963-11-21,2024-03-31 10:28:42,Gold,True,True
52,CUST-00052,Muhammad,Kapoor,Other,muhammad.kapoor.cust-00052@example.com,+91-9159212499,Jaipur,RJ,India,711836,1989-03-04,2025-08-18 20:05:15,Premium,True,True
53,CUST-00053,Shivansh,Nair,Male,shivansh.nair.cust-00053@example.com,+91-7766156545,Coimbatore,TN,India,628098,2002-07-19,2024-07-15 18:43:51,Standard,True,True
54,CUST-00054,Prisha,Agarwal,Other,prisha.agarwal.cust-00054@example.com,+91-6560494519,Bengaluru,KA,India,951493,1979-02-01,2025-06-15 21:14:53,Gold,True,False
55,CUST-00055,Manan,Mehta,Male,manan.mehta.cust-00055@example.com,+91-9940244550,Bhopal,MP,India,118366,1972-11-07,2023-10-26 17:02:17,Gold,False,True
56,CUST-00056,Dev,Agarwal,Male,dev.agarwal.cust-00056@example.com,+91-7459910229,Hyderabad,TS,India,743815,1967-04-27,2023-04-19 01:12:14,Standard,True,True
57,CUST-00057,Manan,Gupta,Female,manan.gupta.cust-00057@example.com,+91-6840369003,Gurugram,HR,India,176226,1978-12-13,2023-03-13 04:27:24,Standard,True,False
58,CUST-00058,Anvi,Nair,Female,anvi.nair.cust-00058@example.com,+91-7160607159,Surat,GJ,India,629751,1996-04-13,2023-12-21 00:39:48,Gold,True,True
59,CUST-00059,Manan,Gupta,Male,manan.gupta.cust-00059@example.com,+91-6968164535,Delhi,DL,India,652312,1966-11-07,2024-03-25 13:09:54,Gold,True,False
60,CUST-00060,Aaradhya,Reddy,Female,aaradhya.reddy.cust-00060@example.com,+91-8127799799,Hyderabad,TS,India,590581,1988-05-12,2023-05-04 22:51:37,Standard,True,True
61,CUST-00061,Ira,Jain,Female,ira.jain.cust-00061@example.com,+91-9054119986,Jaipur,RJ,India,882071,1963-09-06,2023-12-28 15:04:23,Platinum,True,False
62,CUST-00062,Rohan,Singh,Female,rohan.singh.cust-00062@example.com,+91-8037788925,Surat,GJ,India,615186,1985-05-18,2023-06-06 21:36:22,Standard,True,True
63,CUST-00063,Anika,Iyer,Other,anika.iyer.cust-00063@example.com,+91-8519254629,Bhopal,MP,India,381685,1967-08-08,2024-08-13 12:07:58,Standard,True,False
64,CUST-00064,Vivaan,Chopra,Male,vivaan.chopra.cust-00064@example.com,+91-8357332214,Gurugram,HR,India,692962,2005-07-18,2024-03-07 19:36:25,Standard,True,True
65,CUST-00065,Isha,Khan,Male,isha.khan.cust-00065@example.com,+91-8706537947,Bhopal,MP,India,459774,2007-11-28,2024-12-05 08:21:40,Standard,True,True
66,CUST-00066,Ayaan,Malhotra,Male,ayaan.malhotra.cust-00066@example.com,+91-6239240758,Surat,GJ,India,882613,2006-04-14,2024-07-20 17:55:46,Standard,True,False
67,CUST-00067,Shivansh,Chopra,Male,shivansh.chopra.cust-00067@example.com,+91-6068536153,Mumbai,MH,India,320472,1988-08-03,2023-09-10 16:11:03,Standard,True,False
68,CUST-00068,Saanvi,Jain,Male,saanvi.jain.cust-00068@example.com,+91-9104328986,Bhopal,MP,India,811798,1985-11-05,2024-07-29 01:20:48,Standard,False,True
